Stadtteil;B_Bev;B_Bev18;B_Bev18_rel;B_Bev65;B_Bev65_rel;B_BevAusl;B_BevAusl_rel;B_BevMigr;B_BevMigr_rel;B_BevMigr18;B_BevMigr18_rel;H_Haushalt;H_HaushaltPers;H_EinpersHaushalte;H_EinpersHaushalte_rel;H_KindHaushalte;H_KindHaushalte_rel;H_Alleinerziehende;H_Alleinerziehende_rel;F_Flaeche;F_BevDichte;E_Geburten;E_Sterbefaelle;E_Zuzuege;E_Fortzuege;E_WanderungsSaldo;A_SozVersBeschaeftigte;A_Beschaeftigte_rel;A_Arbeitslose;A_Arbeitslose_rel;A_JungeArbeitslose;A_JungeArbeitslose_rel;A_AlteArbeitslose;A_AlteArbeitslose_rel;L_LeistungsemSGB;L_LeistungsemSGB_rel;L_Mindestsich15;L_Mindestsich15_rel;L_BedarfsgemSGB;L_Grundsich65;L_Grundsich65_rel;W_Wohngebaeude;W_Wohnungen;W_WohnungenBezugsf;W_WohnungenEinZweiFH;W_WohnungenEinZweiFH_rel;W_Wohnungsgroesse;W_WohnflaecheEinw;W_Sozialwohnungen;W_Sozialwohnungen_rel;W_SozialwohnungenBindungsauslauf;W_SozialwohnungenBindungsauslauf_rel;W_PreiseGrundstuecke;W_PreiseEinZweiFH;W_PreiseEigentumsW;VS_Kindergaerten;VS_Grundschulen;VS_SchuelerSek1;VS_SchuelerStadtteilschulen_rel;VS_SchuelerGymnasien_rel;VA_Aerzte;VA_Allgemeinaerzte;VA_Zahnaerzte;VA_Apotheken;P_PrivatePKW;P_PKWDichte;P_ElektroPKW
Hamburg-Altstadt;2272;277;12.2;245;10.8;499;22.0;962;42.4;173;62.5;1481;1.6;927;62.6;184;12.4;46;25.0;1.3;1747;29;15;345;373;-28;1274;71.7;80;4.5;;;;;221;9.7;66;26.5;112;37;15.1;99;1346;0;17;1.3;73.4;43.5;160;11.9;47;29.4;;;4838;1;0;61;42.6;49.2;181;48;50;9;636;280;83
HafenCity;4592;908;19.8;424;9.2;1318;28.7;2101;45.8;594;65.8;2121;2.1;798;37.6;513;24.2;79;15.4;2.4;1893;72;7;1614;694;920;1729;51.7;144;4.3;22;4.5;;;493;10.7;177;21.5;187;15;3.5;99;1899;421;5;0.3;88.8;36.7;64;3.4;0;0.0;;;7874;5;1;169;52.7;42.6;13;5;7;1;1161;253;58
Neustadt;12920;1449;11.2;1859;14.4;2636;20.4;4737;36.8;732;50.6;8877;1.5;6163;69.4;1011;11.4;279;27.6;2.3;5712;156;76;1864;1691;173;5908;60.3;490;5.0;17;1.6;82;5.6;984;7.6;160;12.6;668;308;16.6;646;7548;63;68;0.9;63.0;36.8;1292;17.1;596;46.1;;;;12;1;374;45.5;51.1;194;16;76;9;3109;241;270
St. Pauli;22436;2985;13.3;2182;9.7;4790;21.3;8254;36.7;1443;48.2;15127;1.5;10482;69.3;1975;13.1;632;32.0;2.2;10005;266;143;2656;2765;-109;9591;54.3;1207;6.8;56;3.0;184;8.2;2878;12.8;610;23.6;1848;573;26.3;1283;12507;26;172;1.4;64.3;35.8;1654;13.2;248;15.0;1488;;5808;18;1;805;52.8;40.6;41;12;16;7;4377;195;20
St. Georg;11384;1146;10.1;1496;13.1;2704;23.8;4521;39.7;612;53.2;7359;1.5;4944;67.2;752;10.2;180;23.9;1.8;6246;112;89;2074;1737;337;4986;56.0;378;4.2;20;1.6;73;5.7;797;7.0;134;13.5;529;258;17.2;547;6240;210;58;0.9;71.1;39.0;755;12.1;268;35.5;2489;;5998;8;1;297;40.1;56.6;98;32;15;7;2306;203;21
Hammerbrook;4323;471;10.9;143;3.3;1855;42.9;2568;59.8;398;85.8;2161;1.6;1328;61.5;222;10.3;59;26.6;2.5;1732;53;5;1622;1216;406;2183;58.1;266;7.1;33;3.8;26;11.5;695;16.1;174;41.3;431;39;27.3;87;1890;13;6;0.3;57.0;24.9;219;11.6;0;0.0;971;;;5;0;124;61.3;25.8;0;0;12;0;578;134;122
Borgfelde;7696;819;10.6;917;11.9;2314;30.1;3521;45.6;581;71.2;4479;1.5;3074;68.6;422;9.4;114;27.0;0.8;9364;79;49;1655;1601;54;3520;58.0;273;4.5;35;2.7;43;6.3;902;11.7;237;33.1;505;143;15.6;379;4360;3;43;1.0;55.6;31.5;192;4.4;34;17.7;755;;4538;3;0;216;60.6;35.2;3;2;4;1;1631;212;3
Hamm;38773;4472;11.5;5284;13.6;7068;18.2;13930;35.9;2781;62.2;26215;1.5;17865;68.1;2870;10.9;856;29.8;3.9;9970;469;321;4837;4894;-57;19557;66.1;1440;4.9;82;2.1;230;6.0;3762;9.7;928;23.7;2178;616;11.7;2317;23348;61;259;1.1;58.7;35.4;1194;5.1;65;5.4;446;;3675;15;2;1212;56.7;38.8;23;11;31;7;10190;263;24
Horn;38799;6018;15.5;5951;15.3;10155;26.2;20218;51.9;4487;74.7;23018;1.7;13773;59.8;3611;15.7;1180;32.7;5.9;6579;450;404;4815;4590;225;15952;57.5;1864;6.7;142;2.8;303;7.0;6256;16.1;1804;35.2;3240;832;14.0;2769;19398;60;1003;5.2;60.9;30.5;1610;8.3;147;9.1;425;;3234;14;5;1869;65.2;30.1;38;21;14;5;10171;262;6
Billstedt;70355;13545;19.3;12739;18.1;17987;25.6;41083;58.3;10397;76.9;35194;2.0;16585;47.1;7722;21.9;2390;31.0;16.9;4157;814;649;5326;5573;-247;25414;54.8;3579;7.7;326;3.9;577;6.4;13997;19.9;4218;37.4;6542;1899;14.9;7985;31671;40;6286;19.8;72.4;32.6;7390;23.3;3697;50.0;445;3223;3040;28;8;4446;67.5;28.8;91;44;36;10;21723;309;14
Billbrook;1992;629;31.6;103;5.2;1539;77.3;1735;85.4;617;97.9;534;1.4;414;77.5;36;6.7;12;33.3;6.3;317;31;16;666;709;-43;613;45.2;178;13.1;16;5.2;22;12.5;1029;51.7;401;75.2;365;27;26.2;83;284;0;72;25.4;65.8;9.4;0;0.0;0;0.0;275;;;1;0;209;83.7;9.1;0;0;0;0;295;148;10
Rothenburgsort;9268;1592;17.2;1325;14.3;2623;28.3;5220;56.4;1249;79.6;5262;1.8;3116;59.2;893;17.0;302;33.8;7.2;1289;111;113;1185;1114;71;3702;56.5;491;7.5;34;3.2;87;8.0;1729;18.7;511;36.9;867;217;16.4;529;4580;104;137;3.0;60.9;30.1;961;21.0;225;23.4;308;;3891;4;1;483;67.7;25.3;6;5;6;2;2342;253;21
Veddel;4632;902;19.5;387;8.4;2109;45.5;3434;73.6;831;92.4;2501;1.9;1418;56.7;501;20.0;136;27.1;4.4;1060;43;15;504;577;-73;1900;54.5;300;8.6;23;3.2;37;10.3;1085;23.4;328;43.4;491;92;23.8;210;2040;0;14;0.7;61.0;26.8;413;20.2;98;23.7;290;;;2;1;333;80.5;16.5;3;3;2;1;784;169;9
Wilhelmsburg;54068;11147;20.6;7292;13.5;17408;32.2;32683;60.4;8676;78.2;26346;2.0;13072;49.6;6005;22.8;1555;25.9;35.4;1528;743;461;4481;4655;-174;20301;54.3;3125;8.4;295;4.2;412;7.4;11154;20.6;3516;37.5;5008;966;13.2;4670;22714;106;3188;14.0;69.7;29.3;5251;23.1;657;12.5;267;3123;3550;26;7;3640;69.3;23.3;70;37;22;9;13695;253;45
Kleiner Grasbrook und Steinwerder;1239;74;6.0;63;5.1;469;37.9;636;50.7;68;89.5;987;1.3;769;77.9;40;4.1;17;42.5;11.9;104;9;6;367;377;-10;595;53.3;77;6.9;10;3.3;14;13.3;167;13.5;29;48.3;115;20;31.7;70;735;-1;2;0.3;50.6;30.0;0;0.0;0;0.0;;;;0;0;20;65.0;35.0;0;0;0;0;130;105;18
